1 1 33 36 1 1 2 3 9 3
1 1 32 35 1 1 3 3 9 3
1 1 32 36 1 1 4 3 9 3
1 1 33 35 1 1 1 3 9 3
1 1 33 34 1 2 2 3 10 3
1 1 32 33 1 2 3 3 10 3
1 1 32 34 1 2 4 3 10 3
1 1 33 33 1 2 1 3 10 3
1 1 33 32 1 4 2 3 11 3
1 1 32 31 1 4 3 3 11 3
1 1 32 32 1 4 4 3 11 3
1 1 33 31 1 4 1 3 11 3
1 1 33 30 1 5 2 3 12 3
1 1 32 29 1 5 3 3 12 3
1 1 32 30 1 5 4 3 12 3
1 1 33 29 1 5 1 3 12 3
1 1 33 28 1 7 2 2 1 2
1 1 32 27 1 7 3 2 1 2
1 1 32 28 1 7 4 2 1 2
1 1 33 27 1 7 1 2 1 2
1 1 33 26 1 8 2 2 2 2
1 1 32 25 1 8 3 2 2 2
1 1 32 26 1 8 4 2 2 2
1 1 33 25 1 8 1 2 2 2
1 1 33 24 1 10 2 2 3 2
1 1 32 23 1 10 3 2 3 2
1 1 32 24 1 10 4 2 3 2
1 1 33 23 1 10 1 2 3 2
1 1 33 22 1 11 2 2 4 2
1 1 32 21 1 11 3 2 4 2
1 1 32 22 1 11 4 2 4 2
1 1 33 21 1 11 1 2 4 2
1 1 35 25 1 13 2 2 10 2
1 1 34 24 1 13 3 2 10 2
1 1 34 25 1 13 4 2 10 2
1 1 35 24 1 13 1 2 10 2
1 1 35 23 1 14 2 2 11 2
1 1 34 22 1 14 3 2 11 2
1 1 34 23 1 14 4 2 11 2
1 1 35 22 1 14 1 2 11 2
1 1 34 21 1 15 2 2 12 2
1 1 35 21 1 15 1 2 12 2
1 1 35 30 1 16 2 2 7 2
1 1 34 29 1 16 3 2 7 2
1 1 34 30 1 16 4 2 7 2
1 1 35 29 1 16 1 2 7 2
1 1 35 28 1 17 2 2 8 2
1 1 34 27 1 17 3 2 8 2
1 1 34 28 1 17 4 2 8 2
1 1 35 27 1 17 1 2 8 2
1 1 34 26 1 18 2 2 9 2
1 1 35 26 1 18 1 2 9 2
1 1 35 33 1 19 1 2 5 2
1 1 34 33 1 19 3 2 5 2
1 1 34 34 1 19 4 2 5 2
1 1 35 32 1 20 2 2 6 2
1 1 34 31 1 20 3 2 6 2
1 1 34 32 1 20 4 2 6 2
